waiting_time,system_time,service_time
0.0,0.22583248473358597,0.22583248473358586
0.0,4.146541894806611,4.146541894806611
0.0,2.1969817885616525,2.1969817885616525
1.264665182801803,1.462843036420872,0.19817785361906878
0.0,1.6670607589340296,1.66706075893403
0.4483124636491782,0.9354949141556617,0.4871824505064839
0.0,0.6173945427588574,0.6173945427588569
0.0,0.6874638399134341,0.6874638399134337
0.0,0.6402566165583412,0.6402566165583419
0.0,2.434496036612199,2.4344960366121984
0.0,0.578052140289536,0.5780521402895344
0.0,0.39737840380561096,0.39737840380561074
0.36871078838219873,0.6478723199697605,0.2791615315875602
0.0,0.5665351652472168,0.5665351652472178
0.0,1.7309553924987284,1.7309553924987289
0.9366079341214828,1.1598959988419821,0.2232880647204999
0.14518617108533505,0.6298729442364106,0.4846867731510756
0.0,7.357989321414722,7.357989321414723
0.0,1.6814929309801876,1.6814929309801885
0.0,1.9630510504354994,1.9630510504354979
0.0,3.0514073447993937,3.0514073447993924
0.506200394097089,3.0986776308107515,2.5924772367136626
0.0,4.958870431841213,4.958870431841212
3.060111921321038,3.1568946722819007,0.09678275096085927
2.1800121157288466,6.883344597915656,4.703332482186806
0.09152679462706459,3.816939284594092,3.725412489967024
2.2710294397684123,4.15724528202302,1.8862158422546074
1.006722770024055,2.414243877199752,1.4075211071756961
0.4776508843093836,0.6818790501935936,0.20422816588420759
0.0,0.09550735611252037,0.09550735611252247
0.15656182996156787,1.3891197505494333,1.2325579205878632
0.0,3.5200997703589465,3.5200997703589465
3.4787362134018878,3.8221038707559316,0.34336765735404395
3.3046164692184448,3.9445977596040436,0.6399812903856014
0.0,5.2385327653572205,5.238532765357217
2.998570670820655,4.1806719034078625,1.1821012325872085
1.7740250564806601,2.1345171967165726,0.3604921402359123
2.029253230596588,2.3911009566866355,0.361847726090047
0.0,0.591189657819001,0.5911896578189989
0.9094424462331574,4.982032878151685,4.072590431918525
0.0,1.663593288528439,1.6635932885284406
0.34576367644882566,1.8515907181546964,1.5058270417058695
0.9216482462521611,1.2709713553478466,0.34932310909568515
0.0,2.1464749127945453,2.146474912794547
0.0,0.47273104113132547,0.4727310411313237
0.0,1.9440324298728342,1.9440324298728338
0.0,5.2274876524855145,5.227487652485512
2.466476407119451,3.029909403977342,0.5634329968578898
2.347684410018907,2.7542398885076196,0.4065554784887137
1.8927533666256195,2.766975515794961,0.8742221491693396
2.373810569295429,3.9623467746803414,1.5885362053849057
3.7068166157083624,4.481689645619284,0.77487302991092
2.3573714923788174,4.076618993250037,1.7192475008712218
3.9388693618486386,4.279583075051114,0.3407137132024809
3.515990228125304,5.164068033329585,1.6480778052042793
0.0,10.701841050925722,10.701841050925717
3.8518731168647804,4.500389960577621,0.6485168437128469
4.395643164055613,4.744800204783388,0.3491570407277803
4.560960455303004,8.439787568197701,3.878827112894693
6.673664820542129,7.127441992754214,0.4537771722120795
5.239477141700647,5.3035249786250205,0.06404783692437513
3.1465527795460844,5.560672377477758,2.4141195979316694
4.789658786962349,5.94602307347418,1.156364286511835
4.728469512633723,5.563832737971765,0.8353632253380487
4.544009457110462,4.590652350193153,0.04664289308269161
3.789081197954772,3.8586010468463883,0.06951984889161353
3.2875504661751336,3.5342707487355796,0.24672028256044615
3.370385831561862,5.159163697829584,1.7887778662677287
2.6049428823091887,4.146583805764877,1.541640923455682
4.086158184682773,4.235939073837017,0.14978088915423904
4.2291547479963185,4.959747343074639,0.7305925950783135
